name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::NetworkServerConnection_Asio::DispatchImpl,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,260,2800,0.000026,24,116,20,440,33213.321186,319,92
fo::Player::Send_AddItemOnMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,613,930,0.000009,1,930,930,930,0.000000,930,930
fo::Properties::ValidateFiniteRawData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,2241,177110,0.001656,4963,35,1,10330,266.809110,100,20
fo::ProtoManager::GetProtoMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\ProtoManager.cpp,213,230,0.000002,1,230,230,230,0.000000,230,230
fo::EntityManager::GetPlayersCount,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,158,200920,0.001879,641,313,30,19205,1074.322489,380,219
fo::ServerEngine::SyncPointJob,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,738,863218,0.008073,641,1346,500,58702,27050.477472,1770,1059
fo::EntityManager::CallInit,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,1046,2190,0.000020,1,2190,2190,2190,0.000000,2190,2190
fo::Properties::ResetOverlayData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,513,810,0.000008,5,162,40,370,163.920713,358,110
fo::NetworkServerConnection::Dispatch,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer.cpp,159,4009,0.000037,24,167,10,550,33410.738148,479,135
fo::ServerEngine::HandleOutboundRemoteCall,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,2163,680,0.000006,1,680,680,680,0.000000,680,680
fo::GameTimer::GetSynchronizedTime,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Timer.cpp,129,223735,0.002093,1976,113,10,38006,884.910789,250,75
fo::ServerEngine::RequireCurrentSyncContext,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,105,20941,0.000196,91,230,10,5690,584.478504,365,157
fo::Map::SetLocation,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Map.cpp,292,290,0.000003,1,290,290,290,0.000000,290,290
fo::AngelScriptContextManager::RequestContext,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptContext.cpp,243,26781,0.000250,1,26781,26781,26781,0.000000,26781,26781
fo::WorkThread::AddJobInternal,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Essentials\WorkThread.cpp,120,636102,0.005949,1949,326,30,54281,1641.666557,570,220
fo::Critter::StopMoving,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,437,90,0.000001,1,90,90,90,0.000000,90,90
fo::Player::Send_LoadMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,372,1178,0.000011,1,1178,1178,1178,0.000000,1178,1178
OnMapInit,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,980,0.000009,1,980,980,980,0.000000,980,980
fo::NetBuffer::GrowBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,113,2679,0.000025,164,16,1,90,15.693967,50,13
fo::EntityManager::RegisterItem,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,1192,1240,0.000012,1,1240,1240,1240,0.000000,1240,1240
fo::StreamCompressor::Compress,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Essentials\Compressor.cpp,122,174647,0.001633,21,8316,3740,37200,7001.283236,13411,6872
fo::EntityManager::RegisterEntity,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,1416,16140,0.000151,6,2690,80,13270,11406.784823,10443,574
fo::ScriptArray::PrecacheSubTypeData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptArray.cpp,1271,6790,0.000064,3,2263,450,4020,1785.674522,3850,1385
fo::ServerEngine::LockForPropertyAccess,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,180,542880,0.005077,1312,413,10,46758,2064.052147,800,302
OnCritterTransfer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,70,0.000001,1,70,70,70,0.000000,70,70
fo::NetInBuffer::ReadMsg,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,379,1546,0.000014,8,193,120,260,1060.864338,246,183
fo::Critter::GetBroadcastRecipients,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,1182,840,0.000008,1,840,840,840,0.000000,840,840
fo::ServerEngine::CreateUnloginedPlayer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,1930,10950,0.000102,1,10950,10950,10950,0.000000,10950,10950
fo::WorkerPool::Wake,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\WorkerPool.cpp,156,57840,0.000541,8,7230,1000,11760,4298.504723,11449,6582
fo::ReadCursorValue,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\PropertiesSerializator.cpp,346,650,0.000006,2,325,320,330,906.449116,330,320
fo::ServerConnection::AsyncReceiveData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,360,10650,0.000100,8,1331,1040,1650,9480.809550,1622,1285
fo::PropertyRegistrator::GetPropertyByIndex,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,2299,240,0.000002,7,34,10,180,64.254702,129,10
fo::ServerEntity::ServerEntity,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerEntity.cpp,44,170,0.000002,6,28,10,50,20.415680,50,28
fo::AngelScriptContextManager::RunContext,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptContext.cpp,401,1290,0.000012,1,1290,1290,1290,0.000000,1290,1290
fo::DataBaseImpl::ValidateCollectionKey,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\DataBase.cpp,1118,1650,0.000015,4,412,260,610,480.172191,582,346
fo::EngineMetadata::GetPropertyRegistrator,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\EngineBase.cpp,696,1720,0.000016,6,286,80,710,229.493355,613,202
fo::Map::SetMultihexCritter,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Map.cpp,459,1970,0.000018,2,985,120,1850,1223.294731,1764,120
fo::Location::GetMapByIndex,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Location.cpp,135,200,0.000002,1,200,200,200,0.000000,200,200
fo::TwoDimensionalGrid<struct fo::Map::Field,struct fo::mpos,struct fo::msize>::TwoDimensionalGrid,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\TwoDimensionalGrid.h,46,70,0.000001,1,70,70,70,0.000000,70,70
fo::GameTimer::FrameAdvance,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Timer.cpp,94,498351,0.004661,1308,381,20,22316,1095.263335,807,273
fo::ValidateFiniteAnyDocument,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\DataBase.cpp,1721,140,0.000001,1,140,140,140,0.000000,140,140
fo::BaseEngine::FrameAdvance,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\EngineBase.cpp,1196,4283962,0.040067,1308,3275,251,182480,8407.529377,7523,2564
fo::NetOutBuffer::Push,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,142,21019,0.000197,167,125,20,3850,389.549222,340,64
fo::ServerEngine::CountServerStatsJob,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,173,9651,0.000090,83,116,50,4130,446.605312,119,63
fo::Critter::CanSeeItemOnMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,983,1040,0.000010,2,520,280,760,339.411255,736,280
fo::ServerConnection::StartAsyncSend,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,328,2992,0.000028,24,124,10,490,33609.083923,259,101
